pop,code,mpg,ha,category,brood_yr,nS,phos
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,2010,692,0.14
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,2011,845,0.3
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,2012,658,0.14
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1952,3574,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1953,2920,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1954,3054,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1955,5856,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1956,1728,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1957,6267,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1958,1399,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1959,965,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1960,2710,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1961,1854,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1962,2081,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1963,1116,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1964,2097,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1965,1586,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1966,1871,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1967,1804,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1968,2022,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1969,2534,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1970,1477,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1971,3071,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1972,2819,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1973,4363,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1974,2324,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1975,1250,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1976,1065,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1977,1200,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1978,3482,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1979,436,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1980,336,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1981,831,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1982,1082,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1983,797,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1984,948,0
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1985,1592,0.08
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1986,769,0.06
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1987,503,0.1
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1988,704,0.15
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1989,347,0.27
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1990,387,0.49
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1991,493,0.55
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1992,758,0.76
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1993,1106,0.61
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1994,258,0.44
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1995,313,0.44
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1996,386,0.24
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1997,469,0.65
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1998,387,0.53
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,1999,864,0.5
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,2000,1277,0.51
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,2001,2295,0.49
Imnaha,IRMAI,Grande Ronde / Imnaha,57.2092,impact,2002,2875,0.62
